OBJECTID,Date,Lat,Lon,Genus,Species,Sex,Status,County,State,F_updated,x,y
38,1555113600000,30.294786,-87.473694,Tursiops,truncatus,Unknown,Condition Unknown,Escambia,FL,1588749604701,673081,56910
39,1555113600000,29.26254,-89.94899,Tursiops,truncatus,Female,Condition Unknown,Jefferson,LA,1588749604701,412720,182007
40,1555200000000,30.346453,-88.695114,Tursiops,truncatus,Unknown,Moderate Decomposition,Jackson,MS,1588749604701,544607,50614
41,1555372800000,29.10549,-90.18387,Tursiops,truncatus,Unknown,Advanced Decomposition,La Fourche,LA,1588749604701,388015,200928
42,1555372800000,29.10699,-90.18175,Tursiops,truncatus,Unknown,Mummified/Skeletal,Lafourche,LA,1588749604701,388238,200747
43,1555372800000,29.12697,-90.15136,Tursiops,truncatus,Unknown,Mummified/Skeletal,Lafourche,LA,1588749604701,391434,198341
44,1555459200000,29.691067,-89.74302,Tursiops,truncatus,Unknown,Advanced Decomposition,Plaquemines,LA,1588749604701,434385,130230
45,1555459200000,29.702803,-89.707825,Tursiops,truncatus,Unknown,Condition Unknown,Plaquemines,LA,1588749604701,438087,128809
46,1555545600000,30.306475,-87.47246,Tursiops,truncatus,Unknown,Fresh Dead,Baldwin,AL,1588749604701,673211,55486
47,1555545600000,30.35932,-89.10814,Tursiops,truncatus,Male,Moderate Decomposition,Harrison,MS,1588749604701,501164,49046
48,1555632000000,30.37412,-89.06141,Tursiops,truncatus,Male,Moderate Decomposition,Harrison,MS,1588749604701,506079,47242
49,1555718400000,29.198027,-90.05994,Tursiops,truncatus,Male,Advanced Decomposition,Jefferson,LA,1588749604701,401050,189782
50,1555718400000,30.311302,-87.47689,Tursiops,truncatus,Male,Moderate Decomposition,Escambia,FL,1588749604701,672745,54898
51,1555718400000,30.23717,-89.06691,Tursiops,truncatus,Male,Moderate Decomposition,Harrison,MS,1588749604701,505501,63927
52,1555718400000,30.215565,-88.939606,Tursiops,truncatus,Unknown,Moderate Decomposition,Harrison,MS,1588749604701,518891,66557
53,1555891200000,30.2284,-88.9196,Tursiops,truncatus,Female,Moderate Decomposition,Harrison,MS,1588749604701,520995,64994
54,1555891200000,30.366243,-88.39741,Tursiops,truncatus,Male,Moderate Decomposition,Jackson,MS,1588749604701,575922,48202
55,1556064000000,30.317266,-87.870636,Tursiops,truncatus,Female,Moderate Decomposition,Baldwin,AL,1588749604701,631329,54171
56,1556064000000,29.96324,-89.37921,Tursiops,truncatus,Unknown,Moderate Decomposition,Saint Bernard,LA,1588749604701,472652,97231
57,1556064000000,29.725277,-89.675,Tursiops,truncatus,Unknown,Moderate Decomposition,Saint Bernard,LA,1588749604701,441540,126087
58,1556236800000,30.337835,-88.12956,Tursiops,truncatus,Female,Moderate Decomposition,Mobile,AL,1588749604701,604094,51665
59,1556236800000,29.876165,-89.22276,Tursiops,truncatus,Female,Moderate Decomposition,St. Bernard,LA,1588749604701,489107,107798
60,1556236800000,29.728266,-89.68322,Tursiops,truncatus,Unknown,Advanced Decomposition,Saint Bernard,LA,1588749604701,440675,125725
61,1556236800000,29.931341,-89.24205,Tursiops,truncatus,Unknown,Condition Unknown,St. Bernard,LA,1588749604701,487079,101103
62,1556323200000,29.70733,-89.55238,Tursiops,truncatus,Unknown,Moderate Decomposition,Saint Bernard,LA,1588749604701,454437,128261
63,1556323200000,29.89659,-89.73006,Tursiops,truncatus,Male,Advanced Decomposition,Saint Bernard,LA,1588749604701,435748,105320
64,1556323200000,29.995,-89.86222,Tursiops,truncatus,Unknown,Advanced Decomposition,Saint Bernard,LA,1588749604701,421847,93374
65,1556323200000,29.741339,-89.68917,Tursiops,truncatus,Unknown,Advanced Decomposition,St. Bernard,LA,1588749604701,440049,124142
66,1556409600000,29.759653,-89.67471,Tursiops,truncatus,Unknown,Advanced Decomposition,Saint Bernard,LA,1588749604701,441569,121923
67,1556409600000,29.909483,-89.5746,Tursiops,truncatus,Unknown,Advanced Decomposition,St Bernard,LA,1588749604701,452100,103756
68,1556409600000,29.693365,-89.34137,Tursiops,truncatus,Unknown,Advanced Decomposition,Saint Bernard,LA,1588749604701,476632,129952
69,1556409600000,30.33481,-89.4422,Tursiops,truncatus,Male,Moderate Decomposition,Hancock,MS,1588749604701,466026,52033
70,1556409600000,30.241856,-89.13802,Tursiops,truncatus,Unknown,Moderate Decomposition,Harrison,MS,1588749604701,498021,63356
71,1556409600000,30.312056,-89.25085,Tursiops,truncatus,Male,Moderate Decomposition,Harrison,MS,1588749604701,486154,54806
72,1556496000000,29.235905,-89.984406,Tursiops,truncatus,Female,Moderate Decomposition,Jefferson,LA,1588749604701,408995,185218
73,1556496000000,29.71133,-89.43244,Tursiops,truncatus,Unknown,Advanced Decomposition,St. Bernard,LA,1588749604701,467053,127777
74,1556496000000,29.719116,-89.53323,Tursiops,truncatus,Female,Advanced Decomposition,Saint Bernard,LA,1588749604701,456451,126834
75,1556496000000,29.652678,-89.64828,Tursiops,truncatus,Male,Advanced Decomposition,Plaquemines,LA,1588749604701,444350,134878
76,1556496000000,30.290485,-89.35287,Tursiops,truncatus,Male,Alive,Hancock,MS,1588749604701,475423,57434
77,1556496000000,30.303291,-89.286705,Tursiops,truncatus,Male,Moderate Decomposition,Harrison,MS,1588749604701,482382,55874
78,1556582400000,30.25825,-85.6976,Tursiops,truncatus,Unknown,Advanced Decomposition,Bay,FL,1588749604701,859897,61360
79,1556582400000,30.37944,-89.03456,Tursiops,truncatus,Male,Moderate Decomposition,Harrison,MS,1588749604701,508903,46593
80,1556582400000,30.36254,-89.08477,Tursiops,truncatus,Female,Moderate Decomposition,Harrison,MS,1588749604701,503622,48653
81,1556582400000,30.280033,-89.37045,Tursiops,truncatus,Female,Moderate Decomposition,Hancock,MS,1588749604701,473573,58707
82,1564790400000,30.41583,-88.7936,Tursiops,truncatus,Female,Fresh Dead,Harrison,MS,1588749604701,534248,42155
83,1564963200000,30.35369,-89.12609,Tursiops,truncatus,Female,Fresh Dead,Harrison,MS,1588749604701,499276,49732
84,1565049600000,29.46902,-89.342,Tursiops,truncatus,Unknown,Advanced Decomposition,Plaquemines,LA,1588749604701,476566,157086
85,1565136000000,30.22806,-88.32533,Tursiops,truncatus,Unknown,Moderate Decomposition,Mobile,AL,1588749604701,583503,65036
86,1565136000000,30.393335,-88.894424,Tursiops,truncatus,Male,Moderate Decomposition,Harrison,MS,1588749604701,523643,44899
87,1565308800000,30.315765,-87.52932,Tursiops,truncatus,Male,Moderate Decomposition,Baldwin,AL,1588749604701,667230,54354
88,1565568000000,29.74506,-93.68958,Tursiops,truncatus,Unknown,Mummified/Skeletal,Cameron,LA,1588749604701,19272,123691
89,1565740800000,29.7728,-93.3552,Tursiops,truncatus,Male,Alive,Cameron,LA,1588749604701,54443,120330
90,1566345600000,29.7427,-93.8728,Tursiops,truncatus,Unknown,Moderate Decomposition,Cameron,LA,1588749604701,0,123977
91,1566518400000,30.387983,-88.9913,Tursiops,truncatus,Male,Condition Unknown,Harrison,MS,1588749604701,513453,45551
92,1567123200000,30.288757,-88.04901,Tursiops,truncatus,Unknown,Fresh Dead,Mobile,AL,1588749604701,612567,57644
93,1549065600000,29.769281,-93.43838,Tursiops,truncatus,Female,Moderate Decomposition,Cameron,LA,1588749604701,45694,120756
94,1549065600000,30.37343,-89.06442,Tursiops,truncatus,Male,Fresh Dead,Harrison,MS,1588749604701,505763,47326
95,1549152000000,30.278505,-87.71269,Tursiops,truncatus,Female,Fresh Dead,Baldwin,AL,1588749604701,647942,58893
96,1549324800000,29.61804,-85.08108,Tursiops,truncatus,Male,Moderate Decomposition,Franklin,FL,1588749604701,924744,139069
97,1549324800000,29.26888,-89.95293,Tursiops,truncatus,Male,Fresh Dead,Jefferson,LA,1588749604701,412306,181242
98,1549497600000,29.81532,-84.57361,Tursiops,truncatus,Female,Moderate Decomposition,Franklin,FL,1588749604701,978122,115176
99,1549497600000,30.15584,-93.56744,Tursiops,truncatus,Female,Moderate Decomposition,Calcasieu,LA,1588749604701,32119,73824
100,1549497600000,29.26894,-89.953,Tursiops,truncatus,Unknown,Advanced Decomposition,Jefferson,LA,1588749604701,412299,181235
101,1549497600000,30.38162,-89.02577,Tursiops,truncatus,Male,Moderate Decomposition,Harrison,MS,1588749604701,509828,46327
102,1549497600000,30.272985,-89.37632,Tursiops,truncatus,Male,Moderate Decomposition,Hancock,MS,1588749604701,472956,59565
103,1549670400000,30.250029,-88.1535,Tursiops,truncatus,Unknown,Moderate Decomposition,Mobile,AL,1588749604701,601576,62361
104,1549670400000,30.301132,-87.55738,Tursiops,truncatus,Male,Fresh Dead,Baldwin,AL,1588749604701,664278,56137
105,1549670400000,30.489437,-86.47448,Tursiops,truncatus,Male,Moderate Decomposition,Okaloosa,FL,1588749604701,778182,33174
106,1549670400000,30.16244,-85.73814,Tursiops,truncatus,Male,Moderate Decomposition,Bay,FL,1588749604701,855633,73021
107,1549756800000,29.74922,-93.66268,Tursiops,truncatus,Unknown,Advanced Decomposition,Cameron,LA,1588749604701,22101,123187
108,1549756800000,29.22365,-90.01897,Tursiops,truncatus,Male,Moderate Decomposition,Jefferson,LA,1588749604701,405360,186695
109,1549756800000,29.76789,-93.49105,Tursiops,truncatus,Female,Moderate Decomposition,Cameron,LA,1588749604701,40154,120925
110,1550016000000,29.681438,-85.36677,Tursiops,truncatus,Female,Moderate Decomposition,Gulf,FL,1588749604701,894695,131396
111,1550016000000,29.063805,-90.85734,Tursiops,truncatus,Male,Advanced Decomposition,Terrebonne,LA,1588749604701,317177,205945
112,1550102400000,30.32812,-89.29169,Tursiops,truncatus,Female,Moderate Decomposition,Harrison,MS,1588749604701,481857,52849
113,1550275200000,30.306353,-87.5641,Tursiops,truncatus,Male,Fresh Dead,Baldwin,AL,1588749604701,663572,55501
114,1550275200000,29.246056,-89.96558,Tursiops,truncatus,Unknown,Advanced Decomposition,Jefferson,LA,1588749604701,410975,183994
115,1550275200000,30.2994,-89.3338,Tursiops,truncatus,Female,Moderate Decomposition,Hancock,MS,1588749604701,477428,56348
116,1550275200000,30.39369,-88.91837,Tursiops,truncatus,Female,Moderate Decomposition,Harrison,MS,1588749604701,521125,44855
117,1550275200000,30.36186,-89.08279,Tursiops,truncatus,Male,Moderate Decomposition,Harrison,MS,1588749604701,503830,48736
118,1550361600000,30.395224,-86.5593,Tursiops,truncatus,Male,Moderate Decomposition,Okaloosa,FL,1588749604701,769260,44669
119,1550361600000,30.483608,-86.26498,Tursiops,truncatus,Male,Moderate Decomposition,Walton,FL,1588749604701,800218,33886
120,1550448000000,30.229519,-87.97323,Tursiops,truncatus,Female,Moderate Decomposition,Mobile,AL,1588749604701,620538,64858
121,1550448000000,29.68404,-85.29016,Tursiops,truncatus,Female,Moderate Decomposition,Gulf,FL,1588749604701,902753,131081
122,1550448000000,29.732763,-84.9,Tursiops,truncatus,Unknown,Advanced Decomposition,Franklin,FL,1588749604701,943791,125181
123,1550448000000,29.670584,-92.85375,Tursiops,truncatus,Male,Advanced Decomposition,Cameron,LA,1588749604701,107187,132710
124,1550448000000,30.21458,-89.08164,Tursiops,truncatus,Male,Moderate Decomposition,Harrison,MS,1588749604701,503951,66677
125,1550707200000,30.397211,-87.78164,Tursiops,truncatus,Male,Moderate Decomposition,Baldwin,AL,1588749604701,640690,44426
126,1550880000000,29.750744,-84.89238,Tursiops,truncatus,Female,Mummified/Skeletal,Franklin,FL,1588749604701,944592,123002
127,1551052800000,30.617222,-87.91333,Tursiops,truncatus,Male,Moderate Decomposition,Baldwin,AL,1588749604701,626838,17566
128,1551052800000,30.157484,-85.72195,Tursiops,truncatus,Female,Moderate Decomposition,Bay,FL,1588749604701,857335,73624
129,1551139200000,30.277864,-87.725845,Tursiops,truncatus,Female,Fresh Dead,Baldwin,AL,1588749604701,646559,58971
130,1551139200000,30.310123,-87.521965,Tursiops,truncatus,Male,Fresh Dead,Baldwin,AL,1588749604701,668003,55041
131,1551225600000,29.72083,-89.47465,Tursiops,truncatus,Male,Fresh Dead,Saint Bernard,LA,1588749604701,462613,126626
132,1551225600000,29.76717,-93.51313,Tursiops,truncatus,Male,Advanced Decomposition,Cameron,LA,1588749604701,37831,121012
133,1562025600000,30.299784,-87.508125,Tursiops,truncatus,Female,Fresh Dead,Baldwin,AL,1588749604701,669459,56301
134,1562371200000,30.292542,-88.586395,Tursiops,truncatus,Male,Moderate Decomposition,Jackson,MS,1588749604701,556042,57183
135,1562889600000,30.33666,-89.17035,Tursiops,truncatus,Unknown,Moderate Decomposition,Harrison,MS,1588749604701,494621,51808
136,1563408000000,30.34367,-88.73274,Tursiops,truncatus,Female,Fresh Dead,Jackson,MS,1588749604701,540650,50953
137,1563753600000,29.77706,-93.2403,Tursiops,truncatus,Female,Advanced Decomposition,Cameron,LA,1588749604701,66529,119814
138,1564185600000,30.235668,-88.11599,Tursiops,truncatus,Unknown,Moderate Decomposition,Mobile,AL,1588749604701,605522,64109
139,1564185600000,30.249516,-88.14628,Tursiops,truncatus,Male,Moderate Decomposition,Mobile,AL,1588749604701,602336,62423
140,1564272000000,30.369167,-88.32183,Tursiops,truncatus,Unknown,Moderate Decomposition,Mobile,AL,1588749604701,583870,47845
141,1564358400000,30.25773,-89.41312,Tursiops,truncatus,Male,Moderate Decomposition,Hancock,MS,1588749604701,469085,61423
142,1559347200000,30.3797,-89.03309,Tursiops,truncatus,Female,Moderate Decomposition,Harrison,MS,1588749604701,509058,46561
143,1559347200000,30.37926,-89.03631,Tursiops,truncatus,Female,Moderate Decomposition,Harrison,MS,1588749604701,508719,46615
144,1559347200000,30.242605,-88.77324,Tursiops,truncatus,Unknown,Moderate Decomposition,Harrison,MS,1588749604701,536390,63265
145,1559433600000,30.24898,-89.06699,Tursiops,truncatus,Male,Fresh Dead,Harrison,MS,1588749604701,505492,62489
146,1559433600000,30.342333,-88.90425,Tursiops,truncatus,Unknown,Moderate Decomposition,Harrison,MS,1588749604701,522610,51116
147,1559433600000,30.259428,-89.082375,Tursiops,truncatus,Unknown,Moderate Decomposition,Harrison,MS,1588749604701,503874,61216
148,1559520000000,30.22567,-88.97444,Tursiops,truncatus,Unknown,Moderate Decomposition,Harrison,MS,1588749604701,515227,65327
149,1559520000000,30.389923,-88.88714,Tursiops,truncatus,Female,Moderate Decomposition,Harrison,MS,1588749604701,524409,45315
150,1559606400000,30.294718,-88.119835,Tursiops,truncatus,Unknown,Moderate Decomposition,Mobile,AL,1588749604701,605118,56918
151,1559606400000,30.39151,-88.95066,Tursiops,truncatus,Male,Moderate Decomposition,Harrison,MS,1588749604701,517728,45121
152,1559606400000,30.245,-88.958336,Tursiops,truncatus,Unknown,Fresh Dead,Harrison,MS,1588749604701,516921,62973
153,1559606400000,30.389704,-88.89234,Tursiops,truncatus,Female,Advanced Decomposition,Harrison,MS,1588749604701,523862,45342
154,1559606400000,30.250933,-89.22352,Tursiops,truncatus,Unknown,Moderate Decomposition,Harrison,MS,1588749604701,489028,62251
155,1559779200000,30.386763,-89.00419,Tursiops,truncatus,Female,Moderate Decomposition,Harrison,MS,1588749604701,512098,45700
156,1559865600000,30.2347,-88.88791,Tursiops,truncatus,Unknown,Moderate Decomposition,Harrison,MS,1588749604701,524328,64227
157,1559952000000,30.26683,-87.59015,Tursiops,truncatus,Male,Fresh Dead,Baldwin,AL,1588749604701,660832,60315
158,1559952000000,30.377853,-88.8108,Tursiops,truncatus,Unknown,Moderate Decomposition,Jackson,MS,1588749604701,532439,46786
159,1559952000000,30.382952,-88.869934,Tursiops,truncatus,Male,Advanced Decomposition,Harrison,MS,1588749604701,526219,46165
160,1560384000000,30.25389,-88.193886,Tursiops,truncatus,Female,Fresh Dead,Mobile,AL,1588749604701,597328,61891
161,1560384000000,30.249872,-87.833664,Tursiops,truncatus,Male,Moderate Decomposition,Baldwin,AL,1588749604701,635218,62380
162,1560384000000,30.3404,-89.2425,Tursiops,truncatus,Unknown,Moderate Decomposition,Harrison,MS,1588749604701,487031,51352
163,1560816000000,29.685719,-89.56218,Tursiops,truncatus,Unknown,Advanced Decomposition,St. Bernard,LA,1588749604701,453407,130878
164,1560902400000,29.7214,-89.48373,Tursiops,truncatus,Female,Moderate Decomposition,St. Bernard,LA,1588749604701,461658,126557
165,1561161600000,30.2477,-88.2124,Tursiops,truncatus,Female,Moderate Decomposition,Mobile,AL,1588749604701,595381,62645
166,1561248000000,29.7585,-89.44123,Tursiops,truncatus,Male,Advanced Decomposition,St. Bernard,LA,1588749604701,466128,122063
167,1561334400000,30.463612,-87.91722,Tursiops,truncatus,Unknown,Moderate Decomposition,Baldwin,AL,1588749604701,626429,36326
168,1561420800000,29.1599,-90.0995,Tursiops,truncatus,Unknown,Advanced Decomposition,Lafourche,LA,1588749604701,396889,194376
169,1561507200000,30.00735,-89.14424,Tursiops,truncatus,Unknown,Fresh Dead,St. Bernard,LA,1588749604701,497367,91874
170,1561593600000,30.274117,-89.21529,Tursiops,truncatus,Unknown,Moderate Decomposition,Harrison,MS,1588749604701,489894,59428
171,1551398400000,30.324097,-86.154945,Tursiops,truncatus,Unknown,Moderate Decomposition,Walton,FL,1588749604701,811792,53339
172,1551484800000,30.10191,-85.67874,Tursiops,truncatus,Female,Fresh Dead,Bay,FL,1588749604701,861880,80383
173,1551484800000,30.25167,-88.71277,Tursiops,truncatus,Male,Moderate Decomposition,Jackson,MS,1588749604701,542750,62161
174,1551484800000,30.34482,-89.1451,Tursiops,truncatus,Male,Moderate Decomposition,Harrison,MS,1588749604701,497276,50813
175,1551571200000,29.735674,-85.38944,Tursiops,truncatus,Female,Moderate Decomposition,Gulf,FL,1588749604701,892310,124828
176,1551571200000,29.769068,-84.79818,Tursiops,truncatus,Female,Moderate Decomposition,Franklin,FL,1588749604701,954501,120782
177,1551571200000,30.389261,-88.98337,Tursiops,truncatus,Male,Moderate Decomposition,Harrison,MS,1588749604701,514288,45395
178,1551744000000,29.72987,-84.88444,Tursiops,truncatus,Male,Alive,Franklin,FL,1588749604701,945428,125531
179,1551916800000,30.576223,-87.18634,Tursiops,truncatus,Male,Moderate Decomposition,Santa Rosa,FL,1588749604701,703306,22576
180,1551916800000,29.251759,-89.95636,Tursiops,truncatus,Male,Fresh Dead,Jefferson,LA,1588749604701,411945,183307
181,1552003200000,30.248629,-88.19648,Tursiops,truncatus,Male,Moderate Decomposition,Mobile,AL,1588749604701,597055,62531
182,1552003200000,30.36281,-88.76653,Tursiops,truncatus,Male,Moderate Decomposition,Jackson,MS,1588749604701,537096,48620
183,1552089600000,30.228897,-87.817116,Tursiops,truncatus,Female,Moderate Decomposition,Baldwin,AL,1588749604701,636958,64934
184,1552089600000,29.686546,-89.73966,Tursiops,truncatus,Unknown,Moderate Decomposition,Plaquemines,LA,1588749604701,434738,130778
185,1552176000000,30.3152,-87.3406,Tursiops,truncatus,Male,Moderate Decomposition,Escambia,FL,1588749604701,687080,54423
186,1552176000000,30.395,-86.556,Tursiops,truncatus,Unknown,Advanced Decomposition,Okaloosa,FL,1588749604701,769607,44696
187,1552176000000,29.76918,-93.45737,Tursiops,truncatus,Male,Advanced Decomposition,Cameron,LA,1588749604701,43696,120769
188,1552176000000,29.669546,-92.85074,Tursiops,truncatus,Female,Alive,Cameron,LA,1588749604701,107504,132836
189,1552262400000,30.243816,-88.12686,Tursiops,truncatus,Male,Moderate Decomposition,Mobile,AL,1588749604701,604379,63117
190,1552348800000,30.484358,-88.10074,Tursiops,truncatus,Female,Moderate Decomposition,Mobile,AL,1588749604701,607126,33794
191,1552608000000,29.349174,-89.537895,Tursiops,truncatus,Female,Advanced Decomposition,Plaquemines,LA,1588749604701,455960,171557
192,1552867200000,29.701189,-84.79833,Tursiops,truncatus,Male,Advanced Decomposition,Franklin,FL,1588749604701,954485,129005
193,1552867200000,29.77292,-93.2933,Tursiops,truncatus,Unknown,Advanced Decomposition,Cameron,LA,1588749604701,60954,120315
194,1552867200000,29.77472,-93.28161,Tursiops,truncatus,Female,Advanced Decomposition,Cameron,LA,1588749604701,62183,120097
195,1552867200000,29.77709,-93.2455,Tursiops,truncatus,Male,Advanced Decomposition,Cameron,LA,1588749604701,65982,119810
196,1552867200000,29.10565,-90.18366,Tursiops,truncatus,Unknown,Advanced Decomposition,La Fourche,LA,1588749604701,388037,200908
197,1552953600000,29.77255,-93.19239,Tursiops,truncatus,Female,Moderate Decomposition,Cameron,LA,1588749604701,71568,120360
198,1552953600000,29.76197,-93.5613,Tursiops,truncatus,Male,Moderate Decomposition,Cameron,LA,1588749604701,32765,121642
199,1552953600000,30.42934,-88.86906,Tursiops,truncatus,Male,Advanced Decomposition,Harrison,MS,1588749604701,526311,40507
200,1553040000000,29.24117,-89.97577,Tursiops,truncatus,Male,Fresh Dead,Jefferson,LA,1588749604701,409903,184583
201,1553040000000,29.779266,-89.36697,Tursiops,truncatus,Unknown,Advanced Decomposition,St. Bernard,LA,1588749604701,473940,119546
202,1553040000000,29.29955,-89.63969,Tursiops,truncatus,Male,Advanced Decomposition,Plaquamine,LA,1588749604701,445254,177544
203,1553126400000,29.790903,-85.4115,Tursiops,truncatus,Male,Fresh Dead,Gulf,FL,1588749604701,889990,118136
204,1553212800000,30.451012,-86.49113,Tursiops,truncatus,Female,Fresh Dead,Okaloosa,FL,1588749604701,776430,37864
205,1553212800000,30.418879,-86.58856,Tursiops,truncatus,Unknown,Advanced Decomposition,Okaloosa,FL,1588749604701,766182,41784
206,1553212800000,29.345116,-89.74503,Tursiops,truncatus,Unknown,Fresh Dead,Plaquamine,LA,1588749604701,434173,172046
207,1553299200000,30.3648,-86.3189,Tursiops,truncatus,Unknown,Fresh Dead,Walton,FL,1588749604701,794546,48378
208,1553299200000,30.22775,-85.76822,Tursiops,truncatus,Male,Moderate Decomposition,Bay,FL,1588749604701,852469,65073
209,1553299200000,30.25267,-88.88783,Tursiops,truncatus,Female,Fresh Dead,Harrison,MS,1588749604701,524337,62039
210,1553299200000,30.31175,-89.25088,Tursiops,truncatus,Male,Fresh Dead,Harrison,MS,1588749604701,486150,54843
211,1553385600000,29.764862,-85.40306,Tursiops,truncatus,Female,Fresh Dead,Gulf,FL,1588749604701,890877,121292
212,1553385600000,29.26048,-89.5815,Tursiops,truncatus,Male,Advanced Decomposition,St. Bernard,LA,1588749604701,451374,182255
213,1553385600000,29.48988,-89.90265,Tursiops,truncatus,Unknown,Advanced Decomposition,Plaquemines,LA,1588749604701,417595,154566
214,1553385600000,29.266333,-89.95433,Tursiops,truncatus,Unknown,Advanced Decomposition,Jefferson,LA,1588749604701,412158,181549
215,1553385600000,30.237432,-89.073265,Tursiops,truncatus,Unknown,Advanced Decomposition,Harrison,MS,1588749604701,504832,63895
216,1553558400000,30.253153,-88.141525,Tursiops,truncatus,Male,Moderate Decomposition,Mobile,AL,1588749604701,602836,61981
217,1553731200000,30.3291,-89.19576,Tursiops,truncatus,Female,Moderate Decomposition,Harrison,MS,1588749604701,491948,52729
218,1553731200000,30.39255,-88.934975,Tursiops,truncatus,Female,Fresh Dead,Harrison,MS,1588749604701,519378,44995
